id,party,list_pos,electorate,name
481,New Zealand Loyal,,Kaikōura,"COLELLO, Natalie"
390,NewZeal,9,,"COLLING, Hayley"
152,Green Party,11,Panmure-Ōtāhuhu,"COLLINS, Fa'anānā Efeso"
268,National Party,10,Papakura,"COLLINS, Judith"
112,Freedoms NZ,6,,"COOK, Aly"
557,New Zealand Sovereignty Party,,Upper Harbour,"CORBETT, Tony"
435,The Opportunities Party (TOP),12,Hamilton East,"CORKIN, Alex"
346,New Zealand First Party,3,Port Waikato,"COSTELLO, Casey"
322,National Party,64,Ōtaki,"COSTLEY, Tim"
332,New Conservatives,9,Selwyn,"COULTER, Abe"
472,New World Order McCann Party,,Hamilton East,"COUPER, Nathan Lee"
7,ACT New Zealand,8,Te Atatū,"COURT, Simon"
536,New Zealand Loyal,,Selwyn,"COURTNEY, Logan"
18,ACT New Zealand,19,Taupō,"COZENS, Zane"
234,Labour Party,44,Invercargill,"CRAIG, Liz"
173,Green Party,32,Tauranga,"CROOKS, Justin"
258,Leighton Baker Party,3,Wigram,"CULLIMORE, Debra Marie"
41,ACT New Zealand,42,Kelston,"CURRAN, Jacob"
221,Labour Party,31,Hamilton East,"DANSEY, Georgie"
164,Green Party,23,Mana,"DAO-MCLAY, Gina"
142,Green Party,1,,"DAVIDSON, Marama Mere-Ana"
160,Green Party,19,Ilam,"DAVIDSON, Mike"
247,Labour Party,57,Christchurch East,"DAVIDSON, Reuben"
113,Freedoms NZ,7,Auckland Central,"DAVIE, Paul"
192,Labour Party,2,Te Tai Tokerau,"DAVIS, Kelvin"
59,ACT New Zealand,60,Ōhāriu,"DAY, Paul"
325,New Conservatives,2,Botany,"DE BOER, Dieuwe"
85,Aotearoa Legalise Cannabis Party,8,Whangārei,"de JONGE, Jeni"
341,New Nation Party,8,,"de VRIES, Anthony"
327,New Conservatives,4,,"DEACON, Paul Kenneth"
358,New Zealand First Party,15,Kelston,"DEGIA-PALA, Anne"
438,Women’s Rights Party,2,,"DEL LA VARIS, Chimene"
482,Labour Party,,Kaikōura,"DEWHIRST, Emma"
497,Green Party,,Napier,"DICKEY, Julienne"
466,,,East Coast,"DICKSON, Gordon John"
119,Freedoms NZ,13,Northcote,"DONALDSON, Mark"
42,ACT New Zealand,43,Invercargill,"DONALDSON, Scott Ian"
541,,,Taieri,"DONG, Changrong"
355,New Zealand First Party,12,Hutt South,"DONOGHUE, Lee"
266,National Party,8,Waimakariri,"DOOCEY, Matt"
135,Freedoms NZ,29,Waikato,"DORNAN, Lois"
15,ACT New Zealand,16,Tukituki,"DOUGLAS, Rob"
159,Green Party,18,Hamilton West,"DOYLE, Benjamin"
174,Green Party,33,Upper Harbour,"DOYLE, Thea"
51,ACT New Zealand,52,Whanganui,"DREDGE, Craig"
380,New Zealand Loyal,2,,"DREW, Peter"
128,Freedoms NZ,22,Hamilton West,"DU PLOOY, Rudi"
499,Progressive Aotearoa New Zealand,,Nelson,"DYER, Bruce"
469,New Zealand Loyal,,East Coast Bays,"DYET, Bill"
208,Labour Party,18,Mana,"EDMONDS, Barbara"
330,New Conservatives,7,Dunedin,"ELDER, Cyndee"
338,New Nation Party,5,,"ELVIDGE, Jeremy"
63,Animal Justice Party,3,Rongotai,"EMET, Atom"
381,New Zealand Loyal,3,,"ENGEL, Philip George"
538,New Zealand Loyal,,Southland,"EVANS, Logan"
370,New Zealand First Party,27,West Coast-Tasman,"FARRELLY, Jackie"
397,Te Pāti Māori,5,Te Tai Tonga,"FERRIS, Tākuta"
507,New Zealand Loyal,,Northland,"FEYEN, Michael"
508,Northland Party,,Northland,"FINLAYSON, Mike"
43,ACT New Zealand,44,Christchurch Central,"FISKEN, Matthew Hunter"
246,Labour Party,56,Rongotai,"FITZSIMONS, Fleur"
409,Te Pāti Māori,17,East Coast,"FLAVELL, Fallyn"
402,Te Pāti Māori,10,,"FLAVELL, Keanu"
323,National Party,65,Maungakiekie,"FLEMING, Greg"
19,ACT New Zealand,20,Northcote,"FOLEY, Leo George"
440,Women’s Rights Party,4,,"FORNUSEK, Marnie"
350,New Zealand First Party,7,Mana,"FOSTER, Andy"
568,Workers Now,,Wellington Central,"FRANKS, Don"
307,National Party,49,Taieri,"FRENCH, Matthew"
591,,,Te Tai Tonga,"FUIMAONO PUHI, Geoffrey Karena"
292,National Party,34,New Lynn,"GARCIA, Paulo"
563,,,Wairarapa,"GARDNER, Jared Warren"
542,,,Taieri,"GARDNER, Mac"
569,,,Wellington Central,"GEIRINGER, Karl Thomas"
145,Green Party,4,Rongotai,"GENTER, Julie Anne"
