candidate,list_pos,party
65213f5f2536897c4e14e6af,9,6521429b0327fbb14e67be47
65213f722536897c4e14e739,10,6521429a0327fbb14e67be3c
65213f732536897c4e14e740,10,6521429b0327fbb14e67be3f
65213f782536897c4e14e765,10,6521429c0327fbb14e67be51
65213f912536897c4e14e85b,10,6521429b0327fbb14e67be40
65213f502536897c4e14e650,10,6521429b0327fbb14e67be47
65213f482536897c4e14e616,11,6521429a0327fbb14e67be34
65213f942536897c4e14e87a,11,6522240a6d9b75f5428cc2b2
65213f872536897c4e14e7f1,11,6521429d0327fbb14e67be53
65213f562536897c4e14e676,11,6521429a0327fbb14e67be3c
65213f732536897c4e14e744,11,6521429b0327fbb14e67be3f
65213f502536897c4e14e651,11,6521429b0327fbb14e67be47
65213f7b2536897c4e14e77b,12,6521429a0327fbb14e67be39
65213f722536897c4e14e734,12,6521429a0327fbb14e67be3c
65213f732536897c4e14e743,12,6521429b0327fbb14e67be3f
65213f6f2536897c4e14e71f,13,6521429a0327fbb14e67be39
65213f7e2536897c4e14e795,13,6521429a0327fbb14e67be3c
65213f4b2536897c4e14e62d,13,6521429b0327fbb14e67be3f
65213f8e2536897c4e14e837,13,6521429b0327fbb14e67be40
65213f4a2536897c4e14e621,14,6521429a0327fbb14e67be34
65213f712536897c4e14e730,14,6521429a0327fbb14e67be3c
65213f4b2536897c4e14e62a,14,6521429b0327fbb14e67be3f
65213f842536897c4e14e7d4,15,6521429d0327fbb14e67be53
65213f7c2536897c4e14e785,15,6521429a0327fbb14e67be39
65213f642536897c4e14e6d5,15,6521429a0327fbb14e67be3c
65213f732536897c4e14e73d,15,6521429b0327fbb14e67be3f
65213f442536897c4e14e5f8,15,6521429b0327fbb14e67be40
65213f952536897c4e14e880,15,6522240a6d9b75f5428cc2b2
65213f792536897c4e14e770,16,6521429d0327fbb14e67be53
65213f5e2536897c4e14e6a7,16,6521429a0327fbb14e67be39
65213f7e2536897c4e14e792,16,6521429a0327fbb14e67be3c
65213f4d2536897c4e14e637,16,6521429b0327fbb14e67be3f
65213f452536897c4e14e601,17,6521429a0327fbb14e67be34
65213f7d2536897c4e14e78d,17,6521429a0327fbb14e67be3c
65213f822536897c4e14e7ba,17,6521429a0327fbb14e67be3d
65213f662536897c4e14e6e6,17,6521429b0327fbb14e67be3f
65213f712536897c4e14e72e,18,6521429a0327fbb14e67be3c
65213f4c2536897c4e14e635,18,6521429b0327fbb14e67be3f
65213f642536897c4e14e6d0,19,6521429a0327fbb14e67be3c
